Package Name,Version,License,Link,NPM Link
alchemy-sdk,3.5.4,MIT,https://github.com/alchemyplatform/alchemy-sdk-js,https://www.npmjs.com/package/alchemy-sdk
axios,1.8.3,MIT,https://github.com/axios/axios,https://www.npmjs.com/package/axios
boring-avatars,1.11.2,MIT,https://github.com/boringdesigners/boring-avatars,https://www.npmjs.com/package/boring-avatars
canvas-confetti,1.9.3,ISC,https://github.com/catdad/canvas-confetti,https://www.npmjs.com/package/canvas-confetti
class-variance-authority,0.7.1,Apache-2.0,https://github.com/joe-bell/cva,https://www.npmjs.com/package/class-variance-authority
clsx,2.1.1,MIT,https://github.com/lukeed/clsx,https://www.npmjs.com/package/clsx
cmdk,1.1.1,MIT,https://github.com/pacocoursey/cmdk,https://www.npmjs.com/package/cmdk
csv-writer,1.6.0,MIT,https://github.com/ryu1kn/csv-writer,https://www.npmjs.com/package/csv-writer
date-fns,4.1.0,MIT,https://github.com/date-fns/date-fns,https://www.npmjs.com/package/date-fns
detect-browser,5.3.0,MIT,https://github.com/DamonOehlman/detect-browser,https://www.npmjs.com/package/detect-browser
dotenv,16.4.7,BSD-2-Clause,git://github.com/motdotla/dotenv,https://www.npmjs.com/package/dotenv
esbuild-wasm,0.25.1,MIT,https://github.com/evanw/esbuild,https://www.npmjs.com/package/esbuild-wasm
ethers,6.13.5,MIT,git://github.com/ethers-io/ethers.js,https://www.npmjs.com/package/ethers
framer-motion,12.5.0,MIT,https://github.com/motiondivision/motion,https://www.npmjs.com/package/framer-motion
immer,10.1.1,MIT,https://github.com/immerjs/immer,https://www.npmjs.com/package/immer
input-otp,1.4.2,MIT,https://github.com/guilhermerodz/input-otp,https://www.npmjs.com/package/input-otp
jose,6.0.10,MIT,https://github.com/panva/jose,https://www.npmjs.com/package/jose
jsonwebtoken,9.0.2,MIT,https://github.com/auth0/node-jsonwebtoken,https://www.npmjs.com/package/jsonwebtoken
jsrsasign,11.1.0,MIT,https://github.com/kjur/jsrsasign,https://www.npmjs.com/package/jsrsasign
jsrsasign-util,1.0.5,Unlicensed,https://github.com/kjur/jsrsasign,https://www.npmjs.com/package/jsrsasign-util
lenis,1.2.3,MIT,https://github.com/darkroomengineering/lenis,https://www.npmjs.com/package/lenis
lodash,4.17.21,MIT,https://github.com/lodash/lodash,https://www.npmjs.com/package/lodash
lucide-react,0.483.0,ISC,https://github.com/lucide-icons/lucide,https://www.npmjs.com/package/lucide-react
motion,12.5.0,MIT,https://github.com/motiondivision/motion,https://www.npmjs.com/package/motion
next,15.2.3,MIT,https://github.com/vercel/next.js,https://www.npmjs.com/package/next
next-themes,0.4.6,MIT,https://github.com/pacocoursey/next-themes,https://www.npmjs.com/package/next-themes
node-telegram-bot-api,0.66.0,MIT,https://github.com/yagop/node-telegram-bot-api,https://www.npmjs.com/package/node-telegram-bot-api
node-vibrant,4.0.3,MIT,https://github.com/Vibrant-Colors/node-vibrant,https://www.npmjs.com/package/node-vibrant
numbro,2.5.0,MIT,https://github.com/BenjaminVanRyseghem/numbro,https://www.npmjs.com/package/numbro
obscenity,0.4.3,MIT,https://github.com/jo3-l/obscenity,https://www.npmjs.com/package/obscenity
posthog-js,1.231.2,MIT,https://github.com/PostHog/posthog-js,https://www.npmjs.com/package/posthog-js
react,19.0.0,MIT,https://github.com/facebook/react,https://www.npmjs.com/package/react
react-day-picker,9.6.2,MIT,https://github.com/gpbl/react-day-picker,https://www.npmjs.com/package/react-day-picker
react-dom,19.0.0,MIT,https://github.com/facebook/react,https://www.npmjs.com/package/react-dom
react-hook-form,7.54.2,MIT,https://github.com/react-hook-form/react-hook-form,https://www.npmjs.com/package/react-hook-form
react-hot-toast,2.5.2,MIT,https://github.com/timolins/react-hot-toast,https://www.npmjs.com/package/react-hot-toast
react-intersection-observer,9.16.0,MIT,https://github.com/thebuilder/react-intersection-observer,https://www.npmjs.com/package/react-intersection-observer
react-scroll-parallax,3.4.5,MIT,https://github.com/jscottsmith/react-scroll-parallax,https://www.npmjs.com/package/react-scroll-parallax
react-spring,9.7.5,MIT,,https://www.npmjs.com/package/react-spring
react-turnstile,1.1.4,MIT,https://github.com/Le0developer/react-turnstile,https://www.npmjs.com/package/react-turnstile
react-use-measure,2.1.7,MIT,https://github.com/pmndrs/react-use-measure,https://www.npmjs.com/package/react-use-measure
react-waypoint,10.3.0,MIT,https://github.com/civiccc/react-waypoint,https://www.npmjs.com/package/react-waypoint
recharts,2.15.1,MIT,https://github.com/recharts/recharts,https://www.npmjs.com/package/recharts
resend,4.1.2,MIT,https://github.com/resendlabs/resend-node,https://www.npmjs.com/package/resend
royco,0.9.531,MIT,https://github.com/roycoprotocol/royco-sdk,https://www.npmjs.com/package/royco
sonner,2.0.1,MIT,https://github.com/emilkowalski/sonner,https://www.npmjs.com/package/sonner
tailwind-merge,3.0.2,MIT,https://github.com/dcastil/tailwind-merge,https://www.npmjs.com/package/tailwind-merge
tailwindcss-animate,1.0.7,MIT,,https://www.npmjs.com/package/tailwindcss-animate
telegram-login-button,0.1.0,MIT,https://github.com/thisisamir98/telegram-login-button,https://www.npmjs.com/package/telegram-login-button
unique-names-generator,4.7.1,MIT,https://github.com/andreasonny83/unique-names-generator,https://www.npmjs.com/package/unique-names-generator
use-immer,0.11.0,MIT,https://github.com/mweststrate/use-immer,https://www.npmjs.com/package/use-immer
use-resize-observer,9.1.0,MIT,ssh://git@github.com/ZeeCoder/use-resize-observer,https://www.npmjs.com/package/use-resize-observer
usehooks-ts,3.1.1,MIT,https://github.com/juliencrn/usehooks-ts,https://www.npmjs.com/package/usehooks-ts
uuid,11.1.0,MIT,https://github.com/uuidjs/uuid,https://www.npmjs.com/package/uuid
validator,13.12.0,MIT,https://github.com/validatorjs/validator.js,https://www.npmjs.com/package/validator
vaul,1.1.2,MIT,https://github.com/emilkowalski/vaul,https://www.npmjs.com/package/vaul
viem,2.23.12,MIT,https://github.com/wevm/viem,https://www.npmjs.com/package/viem
wagmi,2.14.15,MIT,https://github.com/wevm/wagmi,https://www.npmjs.com/package/wagmi
zod,3.24.2,MIT,https://github.com/colinhacks/zod,https://www.npmjs.com/package/zod
zustand,5.0.3,MIT,https://github.com/pmndrs/zustand,https://www.npmjs.com/package/zustand
@tanstack/react-query-devtools,5.69.0,MIT,https://github.com/TanStack/query,https://www.npmjs.com/package/@tanstack/react-query-devtools
@types/canvas-confetti,1.9.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/canvas-confetti
@types/lodash,4.17.16,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/lodash
@types/node,22.13.10,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/node
@types/node-telegram-bot-api,0.64.7,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/node-telegram-bot-api
@types/react,19.0.11,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/react
@types/react-dom,19.0.4,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/react-dom
@types/uuid,10.0.0,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/uuid
@types/validator,13.12.2,MIT,https://github.com/DefinitelyTyped/DefinitelyTyped,https://www.npmjs.com/package/@types/validator
fast-csv,5.0.2,MIT,https://github.com/C2FO/fast-csv,https://www.npmjs.com/package/fast-csv
lorem-ipsum,2.0.8,ISC,git://github.com/knicklabs/node-lorem-ipsum,https://www.npmjs.com/package/lorem-ipsum
postcss,8.5.3,MIT,https://github.com/postcss/postcss,https://www.npmjs.com/package/postcss
prettier,3.5.3,MIT,https://github.com/prettier/prettier,https://www.npmjs.com/package/prettier
prettier-plugin-tailwindcss,0.6.11,MIT,https://github.com/tailwindlabs/prettier-plugin-tailwindcss,https://www.npmjs.com/package/prettier-plugin-tailwindcss
supabase,2.19.7,MIT,https://github.com/supabase/cli,https://www.npmjs.com/package/supabase
tailwindcss,4.0.14,MIT,https://github.com/tailwindlabs/tailwindcss,https://www.npmjs.com/package/tailwindcss
ts-node,10.9.2,MIT,git://github.com/TypeStrong/ts-node,https://www.npmjs.com/package/ts-node
tsx,4.19.3,MIT,https://github.com/privatenumber/tsx,https://www.npmjs.com/package/tsx
typescript,5.8.2,Apache-2.0,https://github.com/microsoft/TypeScript,https://www.npmjs.com/package/typescript
